Date,CAPE
1914-05-01,11.46
1914-04-01,11.51
1914-03-01,11.67
1914-02-01,11.89
1914-01-01,11.62
1913-12-01,11.16
1913-11-01,11.06
1913-10-01,11.45
1913-09-01,11.82
1913-08-01,11.83
1913-07-01,11.52
1913-06-01,11.47
1913-05-01,12.2
1913-04-01,12.41
1913-03-01,12.42
1913-02-01,12.66
1913-01-01,13.13
1912-12-01,13.37
1912-11-01,13.73
1912-10-01,13.88
1912-09-01,13.9
1912-08-01,13.97
1912-07-01,13.78
1912-06-01,13.76
1912-05-01,13.63
1912-04-01,13.64
1912-03-01,13.62
1912-02-01,13.51
1912-01-01,13.78
