Date,PCR
2010/12/7,-1.588430216
2010/12/8,-1.586978838
2010/12/9,-1.58522733
2010/12/10,-1.580477144
2010/12/13,-1.585364723
2010/12/14,-1.583529631
2010/12/15,-1.586108084
2010/12/16,-1.58048257
2010/12/17,-1.584965854
2010/12/20,-1.58843808
2010/12/21,-1.588149907
2010/12/22,-1.589697269
2010/12/23,-1.592595731
2010/12/27,-1.590971541
2010/12/28,-1.593203647
2010/12/29,-1.592223329
2010/12/30,-1.587696326
2010/12/31,-1.59451776
2011/1/3,-1.591629573
2011/1/4,-1.584444147
2011/1/5,-1.586472345
2011/1/6,-1.581125453
2011/1/7,-1.579350103
2011/1/10,-1.584986976
2011/1/11,-1.5899998
2011/1/12,-1.590126521
2011/1/13,-1.58934074
2011/1/14,-1.587293299
2011/1/18,-1.587041214
2011/1/19,-1.590460729
2011/1/20,-1.585753033
2011/1/21,-1.587009379
2011/1/24,-1.581550532
2011/1/25,-1.574114194
2011/1/26,-1.580474046
2011/1/27,-1.576082236
2011/1/28,-1.592006967
2011/1/31,-1.597573464
2011/2/1,-1.59071866
2011/2/2,-1.593938333
2011/2/3,-1.590312945
2011/2/4,-1.584567445
2011/2/7,-1.578954896
2011/2/8,-1.577175702
2011/2/9,-1.580972466
2011/2/10,-1.579481363
2011/2/11,-1.574298725
2011/2/14,-1.575830721
2011/2/15,-1.572524522
2011/2/16,-1.572533994
2011/2/17,-1.573567341
2011/2/18,-1.572809277
2011/2/22,-1.589891417
2011/2/23,-1.601960538
2011/2/24,-1.600406642
2011/2/25,-1.601205857
2011/2/28,-1.598712038
2011/3/1,-1.613137256
2011/3/2,-1.618174493
2011/3/3,-1.610574342
2011/3/4,-1.618663454
2011/3/7,-1.621209957
2011/3/8,-1.613328403
2011/3/9,-1.614955495
2011/3/10,-1.617168838
2011/3/11,-1.609831832
2011/3/14,-1.611760457
2011/3/15,-1.599935014
2011/3/16,-1.610766447
2011/3/17,-1.61948021
2011/3/18,-1.620869749
2011/3/21,-1.617595354
2011/3/22,-1.623570683
2011/3/23,-1.623263645
2011/3/24,-1.620666413
2011/3/25,-1.619134674
2011/3/28,-1.615180731
2011/3/29,-1.613790051
2011/3/30,-1.609735916
2011/3/31,-1.619042621
2011/4/1,-1.62067894
2011/4/4,-1.624208859
2011/4/5,-1.625881485
2011/4/6,-1.625300747
2011/4/7,-1.627974834
2011/4/8,-1.638180301
2011/4/11,-1.633576715
2011/4/12,-1.625145371
2011/4/13,-1.627801654
2011/4/14,-1.628054807
2011/4/15,-1.630303996
2011/4/18,-1.629865685
2011/4/19,-1.628445347
2011/4/20,-1.630132048
2011/4/21,-1.6300319
2011/4/25,-1.630768089
2011/4/26,-1.626670872
2011/4/27,-1.624083825
2011/4/28,-1.622038153
2011/4/29,-1.62539195
2011/5/2,-1.62350427
2011/5/3,-1.618410706
2011/5/4,-1.614631633
2011/5/5,-1.589286552
2011/5/6,-1.581059158
2011/5/9,-1.594696274
2011/5/10,-1.597149842
2011/5/11,-1.584440909
2011/5/12,-1.58236154
2011/5/13,-1.587296512
2011/5/16,-1.585027304
2011/5/17,-1.583274465
2011/5/18,-1.590953534
2011/5/19,-1.585001499
2011/5/20,-1.591798258
2011/5/23,-1.589413793
2011/5/24,-1.594858367
2011/5/25,-1.600803415
2011/5/26,-1.597579728
2011/5/27,-1.598516177
2011/5/31,-1.599290561
2011/6/1,-1.602545489
2011/6/2,-1.604205878
2011/6/3,-1.609341192
2011/6/6,-1.609120217
2011/6/7,-1.612096638
2011/6/8,-1.618452913
2011/6/9,-1.619243366
2011/6/10,-1.620436313
2011/6/13,-1.616179737
2011/6/14,-1.614621292
2011/6/15,-1.607471063
2011/6/16,-1.604645085
2011/6/17,-1.601820645
2011/6/20,-1.598225608
2011/6/21,-1.593282644
2011/6/22,-1.598977593
2011/6/23,-1.584149738
2011/6/24,-1.586634681
2011/6/27,-1.581386776
2011/6/28,-1.585200858
2011/6/29,-1.590341613
2011/6/30,-1.585149055
2011/7/1,-1.575826304
2011/7/5,-1.583349334
2011/7/6,-1.581778642
2011/7/7,-1.588213744
2011/7/8,-1.587837863
2011/7/11,-1.592157651
2011/7/12,-1.600047467
2011/7/13,-1.603638289
2011/7/14,-1.60050652
2011/7/15,-1.601465971
2011/7/18,-1.601069639
2011/7/19,-1.598470523
2011/7/20,-1.599852634
2011/7/21,-1.593252456
2011/7/22,-1.596792308
2011/7/25,-1.596688689
2011/7/26,-1.600722445
2011/7/27,-1.605636632
2011/7/28,-1.605870235
2011/7/29,-1.604379226
2011/8/1,-1.604958968
2011/8/2,-1.61603074
2011/8/3,-1.605855525
2011/8/4,-1.609107721
2011/8/5,-1.610042401
2011/8/8,-1.621845098
2011/8/9,-1.597703774
2011/8/10,-1.628004273
2011/8/11,-1.617959341
